Date,^DJI,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2018-09-07,25916.5390625,52.84946060180664,166.00843811035156,97.60350036621094,97.79379272460938,337.8342590332031,123.74794006347656,150.23374938964844,39.52505111694336,90.09957122802734,108.4329605102539,,205.40481567382812,180.1705780029297,139.2998046875,106.6125030517578,40.140235900878906,118.2808837890625,96.3891830444336,38.17277145385742,144.2820587158203,135.85055541992188,55.90960693359375,102.1250457763672,75.80760192871094,71.09107208251953,114.5953369140625,247.19622802734375,137.8937225341797,40.14168930053711,29.13683700561523
2018-09-10,25857.0703125,52.14018630981445,171.25169372558594,96.95050048828124,98.90926361083984,330.6573791503906,124.38713836669922,151.1226043701172,39.54185104370117,90.00523376464844,108.14959716796876,,203.64857482910156,184.0670623779297,139.77894592285156,106.75910186767578,40.0106086730957,118.18614959716795,95.87487030029295,38.4566535949707,145.31204223632812,136.0806427001953,55.82134246826172,103.229248046875,77.50690460205078,71.49898529052734,112.40192413330078,239.31808471679688,138.74110412597656,40.230899810791016,29.462173461914062
2018-09-11,25971.060546875,53.45844268798828,168.68927001953125,99.35749816894533,99.84957885742188,333.936279296875,124.36962127685548,152.64060974121094,39.50825881958008,90.42977905273438,107.09429168701172,,202.15574645996097,186.8278045654297,139.51368713378906,107.3748016357422,38.82672119140625,119.305908203125,96.48194885253906,38.423240661621094,144.91587829589844,135.34568786621094,55.43613815307617,104.98467254638672,78.00724029541016,71.17784881591797,112.62214660644533,240.525146484375,140.09884643554688,40.67692184448242,29.383119583129883
2018-09-12,25998.919921875,52.79454040527344,168.71463012695312,99.5,99.45318603515624,341.8288879394531,126.33987426757812,155.16729736328125,39.39065170288086,91.0351791381836,106.95748901367188,,200.34674072265625,185.19403076171875,140.22381591796875,107.43343353271484,38.82672119140625,120.03807067871094,95.34367370605467,38.606929779052734,145.02154541015625,132.10548400878906,56.062068939208984,105.42823791503906,78.35655975341797,72.132568359375,111.77649688720705,242.0270538330078,141.1388702392578,40.86275100708008,29.17941093444824
2018-09-13,26145.990234375,54.06980514526367,171.61532592773438,99.49349975585938,100.17225646972656,343.81170654296875,127.44319915771484,157.9736328125,39.68466567993164,91.4361343383789,108.13981628417967,,200.50485229492188,182.98377990722656,141.78099060058594,109.17792510986328,39.3797721862793,120.4945831298828,95.71466064453124,38.590091705322266,142.96160888671875,133.6009979248047,56.84049987792969,106.56075286865234,78.80024719238281,72.42765808105469,113.48540496826172,244.62542724609375,142.15957641601562,40.840457916259766,28.920969009399418
2018-09-14,26154.669921875,53.45604705810547,169.62802124023438,98.5094985961914,101.00194549560548,348.00946044921875,126.88279724121094,157.2845458984375,39.81907653808594,92.28522491455078,106.76205444335938,,201.30392456054688,182.6517639160156,141.26771545410156,108.7235107421875,39.35384750366211,120.15005493164062,95.69780731201172,38.72481155395508,141.58836364746094,132.85324096679688,56.54155731201172,106.9948959350586,78.81913757324219,72.56652069091797,114.52488708496094,244.4595489501953,142.3617706298828,40.5505485534668,28.759830474853516
2018-09-17,26062.119140625,52.03272247314453,169.822509765625,95.40149688720705,100.67005157470705,344.2953186035156,128.03866577148438,154.7178955078125,39.57545852661133,92.387451171875,106.85977935791016,,200.118408203125,182.06639099121097,141.81529235839844,108.4376449584961,39.250144958496094,120.55487060546876,95.98448944091795,39.00267791748047,139.21153259277344,133.90774536132812,56.89705276489258,105.83406829833984,78.60199737548828,73.12200164794922,114.41917419433594,243.13275146484375,140.76329040527344,40.662052154541016,28.82975196838379
2018-09-18,26246.9609375,52.11869430541992,171.1164093017578,97.05249786376952,101.07569122314452,351.66558837890625,130.5343017578125,155.79649353027344,39.86949157714844,92.87489318847656,107.02588653564452,,200.99658203125,184.3553466796875,142.14895629882812,108.89207458496094,39.8377685546875,121.05442810058594,96.37235260009766,38.67428207397461,138.88580322265625,135.1859130859375,56.89705276489258,106.84388732910156,80.4901351928711,72.90501403808594,115.72288513183594,242.5983734130859,142.15957641601562,40.43160629272461,29.015220642089844
2018-09-19,26405.759765625,52.14973831176758,171.84368896484375,96.3209991455078,101.49977111816406,353.2518615722656,133.7654571533203,152.70053100585938,39.7182731628418,93.95986938476562,107.27995300292967,,206.8713226318359,184.93194580078125,141.85806274414062,109.25858306884766,39.8809928894043,120.98555755615234,99.17161560058594,38.69954299926758,140.12701416015625,136.20204162597656,56.54155731201172,105.41879272460938,79.7065200805664,72.90501403808594,116.71827697753906,244.47799682617188,141.95733642578125,39.77000427246094,28.957456588745117
2018-09-20,26656.98046875,52.54616928100586,173.45050048828125,97.21499633789062,102.4308853149414,355.4184875488281,136.60260009765625,155.29713439941406,40.0963020324707,93.8891143798828,109.06809997558594,,208.469482421875,184.39028930664065,142.4911651611328,110.79051971435548,40.788360595703125,122.2947769165039,100.02316284179688,39.27213287353515,141.54432678222656,137.5760955810547,57.18792724609375,107.1836395263672,80.59395599365234,74.08538818359375,118.1717758178711,245.45469665527344,143.7098846435547,40.104515075683594,29.11252212524414
2018-09-21,26743.5,51.98018264770508,173.45050048828125,95.75050354003906,102.23726654052734,360.03216552734375,136.93533325195312,155.31712341308594,40.79356002807617,95.2335205078125,107.87599182128906,,206.6605529785156,185.55221557617188,143.17564392089844,110.9371109008789,40.32170867919922,123.07000732421876,99.36550903320312,39.22160339355469,145.51449584960938,138.25350952148438,57.44648742675781,107.83485412597656,80.76388549804688,74.48460388183594,118.4272232055664,245.71275329589844,144.48989868164062,40.45391082763672,29.158130645751953
2018-09-24,26562.05078125,52.727664947509766,175.2349090576172,96.71800231933594,101.26929473876952,355.93109130859375,134.85128784179688,158.57286071777344,40.6927490234375,96.40496826171876,110.19181823730467,,204.51791381835935,181.7082061767578,141.56715393066406,109.96957397460938,40.53775787353515,120.99415588378906,98.41276550292967,38.79216766357422,143.7627410888672,136.4512939453125,57.18792724609375,108.22179412841795,79.55548858642578,73.13934326171875,117.00899505615234,246.3484649658203,143.58470153808594,39.799747467041016,28.860157012939453
2018-09-25,26492.2109375,53.062007904052734,174.60060119628906,98.72750091552734,101.28775787353516,355.1960144042969,134.93008422851562,158.66273498535156,40.71795272827149,96.99463653564452,111.03215026855467,,204.16664123535156,181.2452087402344,141.6527099609375,109.14862060546876,39.673587799072266,119.41787719726562,98.13450622558594,38.46377944946289,146.49163818359375,134.61715698242188,57.08289337158203,108.01416778564452,80.04639434814453,72.14125061035156,115.65240478515624,242.8010406494141,144.03732299804688,39.43550109863281,28.914884567260746
2018-09-26,26385.279296875,52.639312744140625,174.91351318359375,98.74250030517578,99.57302856445312,353.06805419921875,134.12448120117188,158.12344360351562,40.66754150390625,95.87821197509766,112.57603454589844,,200.98777770996097,181.29763793945312,141.82383728027344,111.127685546875,39.49212265014648,119.00444793701172,96.97938537597656,38.60692596435547,145.91946411132812,134.89190673828125,56.824344635009766,107.57058715820312,79.01737976074219,72.26273345947266,114.07561492919922,242.24822998046875,143.7388153076172,39.502410888671875,28.759830474853516
2018-09-27,26439.9296875,53.72113037109375,176.6556396484375,100.64900207519533,99.42552185058594,355.3507385253906,133.51153564453125,160.220703125,40.60033416748047,96.28705596923828,113.38705444335938,,199.9867401123047,180.70355224609375,141.48159790039062,111.04704284667967,39.64766311645508,119.05609893798828,96.5578155517578,38.741641998291016,146.59725952148438,134.27838134765625,57.13944625854492,107.97642517089844,79.81039428710938,71.91558837890625,113.74085235595705,243.85145568847656,144.4609832763672,39.836917877197266,28.619966506958008
2018-09-28,26458.310546875,53.9098014831543,175.3025360107422,100.1500015258789,98.17176818847656,359.7129821777344,133.52906799316406,158.82254028320312,40.86915969848633,96.13768768310548,114.2664794921875,,196.91322326660156,180.9743499755859,142.3714141845703,110.83448791503906,40.86613464355469,119.01304626464844,95.14131927490234,38.89321517944336,147.2662811279297,134.66183471679688,57.317195892333984,107.93866729736328,79.98031616210938,72.23672485351562,114.2605972290039,245.13226318359375,144.5283966064453,39.6882438659668,28.553071975708008
2018-10-01,26651.2109375,54.27278518676758,174.98117065429688,100.21800231933594,99.47160339355467,369.7625122070313,133.34515380859375,159.65145874023438,41.05397415161133,97.79656219482422,113.58248138427734,,197.87046813964844,181.36753845214844,143.97207641601562,112.14653778076172,40.140235900878906,120.32231903076172,95.69780731201172,38.9268913269043,146.7205047607422,135.60769653320312,57.793907165527344,109.1089096069336,79.73487091064453,72.61857604980469,113.60874938964844,247.95176696777344,145.20248413085938,40.02275848388672,28.70205307006836
2018-10-02,26773.939453125,54.75519180297851,175.6239471435547,98.56549835205078,99.92333984375,373.7088012695313,135.56930541992188,157.05484008789062,41.17158508300781,98.0717544555664,114.97002410888672,,198.5202484130859,178.8776397705078,143.61741638183594,112.69625091552734,41.56609344482422,121.00279235839844,96.09408569335938,39.16266250610352,145.40887451171875,137.85728454589844,57.971641540527344,108.67479705810548,78.13943481445312,73.21745300292969,114.08441162109376,249.36154174804688,144.1239471435547,40.45391082763672,28.930086135864254
2018-10-03,26828.390625,55.421485900878906,174.97271728515625,97.63800048828124,99.97864532470705,379.4444885253906,138.5465545654297,158.8924560546875,41.280792236328125,98.51988983154295,114.23716735839844,,200.02186584472656,177.9952850341797,143.05519104003906,112.30779266357422,42.13644027709961,119.75383758544922,96.99625396728516,38.6237678527832,144.95111083984375,137.88922119140625,57.66462326049805,108.69367980957033,77.88451385498047,72.06311798095703,114.11083984375,249.6102294921875,143.83506774902344,40.35727310180664,28.601720809936523
2018-10-04,26627.48046875,54.4471321105957,172.07203674316406,95.47100067138672,99.6825942993164,377.2101440429687,137.25936889648438,154.6979217529297,40.91712951660156,98.2368392944336,113.4749984741211,,199.75840759277344,173.72317504882812,142.4755859375,110.90779876708984,41.59202194213867,120.02941131591795,97.87078094482422,38.60692596435547,145.95468139648438,136.66217041015625,57.54342269897461,106.44751739501952,75.6943130493164,71.09973907470703,115.21196746826172,247.2330322265625,141.32179260253906,40.89992141723633,28.644285202026367
2018-10-05,26447.05078125,53.56352233886719,172.53712463378906,94.48249816894533,99.2107162475586,373.8054809570313,134.24708557128906,154.86770629882812,40.7056884765625,98.53560638427734,112.15586853027344,,198.2041473388672,171.56529235839844,141.92201232910156,109.2365951538086,40.64143753051758,119.81412506103516,97.31890106201172,38.6321907043457,146.6324920654297,136.24679565429688,57.389923095703125,105.82462310791016,75.63768005371094,71.29936981201172,114.63058471679688,248.04388427734375,139.97364807128906,40.840457916259766,28.37063789367676
2018-10-08,26486.779296875,53.439327239990234,173.8479766845703,93.22100067138672,98.9886703491211,373.12847900390625,134.28213500976562,148.45606994628906,40.18976974487305,98.1503677368164,113.36750793457033,,197.88800048828125,173.33876037597656,142.6053924560547,108.7674789428711,40.64143753051758,120.06389617919922,97.91324615478516,39.13740158081055,147.68887329101562,137.0009002685547,57.73733901977539,104.6166000366211,75.74151611328125,71.5163345336914,115.97835540771484,247.86878967285156,136.63226318359375,40.89992141723633,28.79022789001465
2018-10-09,26430.5703125,54.179649353027344,174.2116241455078,93.51599884033205,98.683349609375,372.8092956542969,130.87583923339844,148.3062744140625,40.164405822753906,99.7070541381836,114.21762084960938,,195.74533081054688,171.014892578125,139.2145538330078,107.92454528808594,40.22664260864258,119.9002456665039,97.23399353027344,39.061614990234375,149.5022735595703,134.4765167236328,58.44835662841797,105.9473114013672,75.9208755493164,71.34274291992188,115.91667175292967,248.88232421875,137.03668212890625,41.330589294433594,29.51689720153809
2018-10-10,25598.740234375,51.66972351074219,170.15231323242188,87.76249694824219,95.8244400024414,355.4281311035156,125.8495635986328,137.63021850585938,38.59132385253906,96.38925170898438,110.27975463867188,,188.70269775390625,169.22393798828125,135.4776611328125,104.58948516845705,38.71436309814453,118.63406372070312,94.64436340332033,38.46377944946289,148.21702575683594,129.19125366210938,56.92129898071289,100.19031524658205,70.74747467041016,70.68313598632812,112.90402221679688,242.40481567382812,130.49830627441406,40.83454132080078,29.115558624267575
2018-10-11,25052.830078125,51.21358871459961,163.93646240234375,85.96800231933594,93.98326110839844,346.3748474121094,123.4414520263672,139.05836486816406,37.314247131347656,93.11077117919922,108.60885620117188,,187.0166473388672,165.7643280029297,132.88262939453125,101.89939880371094,38.221797943115234,115.28339385986328,91.80852508544922,37.58806228637695,143.46340942382812,125.7273941040039,55.24072265625,99.9543914794922,70.34152221679688,68.45259094238281,109.50377655029295,236.9132080078125,128.77462768554688,40.08293533325195,28.556114196777344
